,Parameter,Date,Time,County,Station,Measurement,Unit
372,Sulfur dioxide,2019-05-10,12:00,Garfield,0555,17.0,Parts per billion
373,Sulfur dioxide,2019-05-10,13:00,Garfield,0555,24.0,Parts per billion
374,Sulfur dioxide,2019-05-10,14:00,Garfield,0555,16.0,Parts per billion
375,Sulfur dioxide,2019-05-10,15:00,Garfield,0555,3.0,Parts per billion
376,Sulfur dioxide,2019-05-10,16:00,Garfield,0555,1.0,Parts per billion
377,Sulfur dioxide,2019-05-10,17:00,Garfield,0555,0.0,Parts per billion
378,Sulfur dioxide,2019-05-10,18:00,Garfield,0555,0.0,Parts per billion
379,Sulfur dioxide,2019-05-10,19:00,Garfield,0555,0.0,Parts per billion
380,Sulfur dioxide,2019-05-10,20:00,Garfield,0555,0.0,Parts per billion
381,Sulfur dioxide,2019-05-10,21:00,Garfield,0555,0.0,Parts per billion
382,Sulfur dioxide,2019-05-10,22:00,Garfield,0555,0.0,Parts per billion
383,Sulfur dioxide,2019-05-10,23:00,Garfield,0555,0.0,Parts per billion
384,Sulfur dioxide,2019-05-11,00:00,Garfield,0555,0.0,Parts per billion
385,Sulfur dioxide,2019-05-11,01:00,Garfield,0555,0.0,Parts per billion
386,Sulfur dioxide,2019-05-11,02:00,Garfield,0555,0.0,Parts per billion
387,Sulfur dioxide,2019-05-11,03:00,Garfield,0555,0.0,Parts per billion
388,Sulfur dioxide,2019-05-11,04:00,Garfield,0555,0.0,Parts per billion
389,Sulfur dioxide,2019-05-11,05:00,Garfield,0555,0.0,Parts per billion
390,Sulfur dioxide,2019-05-11,06:00,Garfield,0555,0.0,Parts per billion
391,Sulfur dioxide,2019-05-11,07:00,Garfield,0555,0.0,Parts per billion
392,Sulfur dioxide,2019-05-11,08:00,Garfield,0555,0.0,Parts per billion
393,Sulfur dioxide,2019-05-11,09:00,Garfield,0555,0.0,Parts per billion
